numunitid,obsval,source_code_description,description,target,predicted_source_code_description
380,426115,unit per week,units per week,186.0,
196,416871,microgram,micromicgrams,57.0,
169,412729,liter per minute,litres/min,52.0,
886,412693,milliliter per minute,mls/min/sa,91.0,
826,411191,thousand per liter,10*3/L,172.0,
53,408012,counts per minute,{breaths}/min,16.0,
148,406739,hour,hour,35.0,
852,393707,international unit per liter,iu/L(37C),40.0,
4007,393286,milliliter per minute per 1.73 meter,ml/min/1.73,92.0,
1113,391637,billion per liter,x 109/l,7.0,
301,390653,week,wk,188.0,
821,389959,per billion,X10*9,135.0,
9,384016,score,/1,167.0,
408,382178,centimeter,cms,11.0,
1094,379093,percent of white blood cells,% WBC,155.0,
937,375851,avidity index,AI,4.0,
391,371463,million per liter,x10^6/L,109.0,
66,366025,liter per minute,1/min,52.0,
1354,365704,billion per liter,x109/l,7.0,
1219,358619,trillion per liter,10**12/L,179.0,
137,347319,gram per 24 hours,g/24h,27.0,
350,346706,second,sec,168.0,
254,344327,pH,pH,130.0,
151,339542,international unit per liter,i.u./l,40.0,
54,336687,per 24 hours,{cigarettes}/d,134.0,
384,330173,millipascal second,mPa/s,115.0,
223,318231,ratio,mol/mol,165.0,
14657,317856,trillion per liter,e12/l,179.0,
341,314925,trillion per liter,x10e12/l,179.0,
568,313197,kilogram per square meter,BMI,46.0,
16,310552,score,/2,167.0,
336,308624,percent,RBC/Blood,152.0,
371,301115,kilo-international unit per liter,kiu/L,42.0,
1333,291593,second,second,168.0,
1256,290564,billion per milliliter,10*9/mL,8.0,
1038,289472,millimeter,/mm,95.0,
1207,288003,millimeter mercury column,Systolic,96.0,
1240,287981,millimeter mercury column,Diastolic,96.0,
657,281926,kilogram per square meter,Kg/mÃÂ²,46.0,
1681,277670,billion per liter,X 10-9/l,7.0,
1422,261877,million per liter,10^6/L,109.0,
358,260829,per 100 white blood cells,/100(WBC),133.0,
121,260155,per 24 hours,cigs/day (past),134.0,
364,259066,femtoliter,femto L,24.0,
347,255283,trillion per liter,10*-2,179.0,
414,247670,trillion per liter,10*12/,179.0,
402,246801,degree Celsius,Celsius,21.0,
303,244501,billion per liter,x10'9/l,7.0,
2383,241727,milliliter per minute per 1.73 square meter,ml/min/1.73 m*2,93.0,
1018,241398,million per microliter,10*6/uL,110.0,
1285,240197,clinical unit,CU,14.0,
109,239738,counts per minute,breaths/min,16.0,
78,236629,trillion per liter,10/12L,179.0,
126,233976,day,d,18.0,
1049,233813,millipascal,mPas,114.0,
368,232214,the number ten,x10,170.0,
20,232167,score,/24,167.0,
117,231775,per 24 hours,Cig/d(past),134.0,
1034,231128,billion per liter,x10 9/l,7.0,
355,228283,percent hemoglobin,% of Hb,153.0,
329,226980,fraction,fraction,25.0,
849,221789,percent hemoglobin,%Hb,153.0,
38,220148,per 24 hours,/d,134.0,
513,219023,week,weeks gestation,188.0,
407,216147,thousand per milliliter,10*3/mL,174.0,
1133,215235,billion per liter,x10**9/l,7.0,
13,215118,score,/15,167.0,
46,209470,per week,/wk,150.0,
1313,208728,millimeter per hour,mm in 1Hr,97.0,
236,202158,nanomole per liter,nnmol/l,128.0,
933,199260,billion per liter,*10 9/l,7.0,
478,198755,per 24 hours,cigarettes / day,134.0,
14658,197025,billion per liter,e/9l,7.0,
825,195198,milliliter per minute per 1.73 square meter,mls/min/1.73 m2,93.0,
916,193281,millimole per mole of hemoglobin,mmol/mol HbA0,105.0,
1199,189825,per milliliter,/mL,143.0,
365,188197,milligram per millimole of creatinine,mg/mmol (creat),87.0,
237,187261,per 24 hours,no./day,134.0,
14663,180274,milliliter per minute per 1.73 square meter,mLs/min/1.73m^2,93.0,
1085,176886,milliliter per minute per 1.73 square meter,mL/min/1.73^2,93.0,
856,175871,millimeter mercury column,O/E - BP reading normal,96.0,
1581,172608,billion per liter,x10/9 l,7.0,
1452,169711,millimeter mercury column,mm(Hg),96.0,
367,164916,trillion per liter,*10^12/l,179.0,
1183,163714,per 100 white blood cells,/100 WBCs,133.0,
865,163408,thousand allergen-specific IgE antibody units per liter,kAU/L,171.0,
827,160634,kilogram,Kgs,45.0,
1047,157546,unit,-,180.0,
59,156020,counts per minute,{Resp}/min,16.0,
455,155177,millimeter mercury column,O/E - blood pressure reading,96.0,
822,153584,kilogram per square meter,18.5-24.9,46.0,
1396,151173,percent hemoglobin,% Tot.Hb,153.0,
50,140335,international unit per milliliter,[iU]/mL,41.0,
703,139706,per 24 hours,cigars/day,134.0,
410,139411,milli-international unit per milliliter,mIU/ml,77.0,
1825,139225,million per microliter,10^6/uL,110.0,
963,139213,millimeter per hour,mm/1stHr,97.0,
60,138405,unit per liter,{U}/L,184.0,
366,137191,millimeter per hour,mm/1Hr,97.0,
359,132848,kilogram per square meter,Kg/m?,46.0,
35,130783,score,/7,167.0,
653,130403,milliliter per minute,mL/min/uSA,91.0,
808,128656,minute,mins,117.0,
1194,125714,billion per liter,10/9/l,7.0,
398,125320,per hundred,/100,139.0,
165,125108,day per week,light d/wk,19.0,
1675,124893,millimole per mole of hemoglobin,mmol/mol Hb,105.0,
454,120713,nanogram per milliliter,nanograms/ml,125.0,
707,120554,trillion per liter,x 10^12/l,179.0,
656,120134,gram per deciliter,g/dL.,28.0,
272,117085,per 24 hours,times/day,134.0,
857,116252,milligram per millimole of creatinine,mg/mmol Creat.,87.0,
1399,113378,trillion per liter,X1012/L,179.0,
425,111529,microequivalent per liter,mEq/L,56.0,
332,109416,millimole,mmol,98.0,
677,104795,unit,Unit,180.0,
1603,103843,milliliter per minute per 1.73 square meter,mls/min/1.73m2,93.0,
28,103122,score,/35,167.0,
1233,102061,millimeter per hour,mm/1st Hour,97.0,
194,101835,microgram per gram,microgram/g,61.0,
1205,101690,per cubic millimeter,/cu.mm.,136.0,
912,100221,percent hemoglobin A1c,DCCT %,154.0,
854,99785,millimeter per hour,mm in 1 hr,97.0,
1339,99540,gram per deciliter,gms/dl,28.0,
953,99109,unit per liter,units/l,184.0,
1626,98135,billion per liter,10e9/l,7.0,
248,96331,per month,per month,146.0,
673,94046,per cubic millimeter,/cu.mm,136.0,
907,92308,kilogram per square meter,kg/m^2,46.0,
1192,91402,percent hemoglobin,% HB.,153.0,
327,90965,per trillion,x10 12,149.0,
880,90208,month,month,120.0,
319,89761,milliliter per second,mL/s,94.0,
1058,83821,millimeter per hour,mm 1st h,97.0,
22106,82413,micromole per liter,Âµmol/L,70.0,
1178,81572,millimeter per hour,MM 1stHR,97.0,
867,80378,second,Secs.,168.0,
224,80186,milliosmole per kilogram,mosmol/kg,113.0,
813,78822,per microliter,per uL,142.0,
992,78502,trillion per liter,RBC/whole blood,179.0,
1239,78339,liter per minute,L/M,52.0,
885,78275,milliliter per minute per 1.73 square meter,ml/min (cor),93.0,
2287,78142,unit,UNKNOWN UN,180.0,
1103,76241,billion per liter,x 10e9/litre,7.0,
2391,74813,millimeter mercury column,mm hh,96.0,
181,74293,milligram per 24 hours,mg/day,80.0,
1324,73942,trillion per liter,10/12 l,179.0,
1421,73809,score,SD,167.0,
1657,73148,trillion per liter,X 10 12/L,179.0,
1426,72897,billion per liter,109l,7.0,
1202,71326,per 24 hours,cig/day,134.0,
800,70609,milligram per millimole of creatinine,mg/mmol CRT,87.0,
1309,70304,kilogram per square meter,K/M2,46.0,
1282,70290,percent,percent,152.0,
399,69586,score,points,167.0,
311,69384,multiple of the median,MoM,121.0,
1145,69041,millimole per liter,mmolL,101.0,
1033,67059,trillion per liter,x 1012/l,179.0,
1277,66264,thousand per liter,*10 3/L,172.0,
603,65660,hour,h,35.0,
1551,64690,per 24 hours,Ounces of tobacco/day,134.0,
1119,64656,international unit per deciliter,IU/dL,39.0,
352,63758,month,MONTHS,120.0,
1327,63248,liter per liter,l/l.,51.0,
394,62324,millimole per kilogram,mmol/kg,100.0,
1344,62188,millipascal,mPa,114.0,
373,62057,minute,minutes,117.0,
1297,59475,degree Celsius,'C,21.0,
33,58970,score,/60,167.0,
280,58745,microgram per gram,ug/g faeces,61.0,
222,58042,times,mod exercise,175.0,
2,57719,percent hemoglobin,% HB,153.0,
2372,57159,milliliter per minute per 1.73 square meter,ml/min/1.73sq.m.,93.0,
1147,57151,per billion,x1O^9,135.0,
835,56566,hour,Hours,35.0,
1568,56461,kilocalorie per 24 hours,kcal/day,44.0,
956,56395,trillion,10^12/,177.0,
809,54799,per trillion,X10*12,149.0,
902,53941,liter per second,L/sec,53.0,
951,53722,millimeter per hour,mm/1st Hr,97.0,
2273,53609,milligram per millimole of creatinine,mg/mmol Cre,87.0,
2161,53553,percent hemoglobin A1c,% Haemoglobin A,154.0,
1316,53318,per 24 hours,/day current,134.0,
994,53128,milliliter per minute per 1.73 square meter,ml/min/1.73msq,93.0,
1307,52940,international unit per liter,IU/L 37C,40.0,
819,52203,milliliter per minute per 1.73 meter,ml/min/1.73m,92.0,
1249,52053,per 24 hours,/day Ex smoker,134.0,
1066,51552,milliliter per minute per 1.73 meter,mL/mn/1.73m,92.0,
1414,51118,milli-international unit per liter,mlU/L,76.0,
1271,50682,billion per liter,x10\S\9/L,7.0,
426,50520,unit per milliliter,{U}/mL,185.0,
2684,50433,microgram per milligram of creatinine,ug/mg creat.,64.0,
403,50265,per 100 white blood cells,/100 WBC,133.0,
1056,49794,parts per million,part/mill,131.0,
324,49749,per cubic millimeter,per cmm,136.0,
1537,49291,score,/17,167.0,
679,49184,gram,g,26.0,
1594,48555,percent total,% of total,156.0,
1394,47196,per 24 hours,No/Day,134.0,
930,47182,microgram of fibrinogen equivalent unit per milliliter,ugFEU/ml,59.0,
811,46952,milligram per kilogram,mg/kg,82.0,
910,46316,millimeter per hour,mm 1st Hr,97.0,
531,45895,unit,U,180.0,
315,45893,milliliter,mls,88.0,
2518,45886,percent,Haematocrit - PCV,152.0,
1141,45101,nanogram per milliliter,ng/ml.,125.0,
1530,45051,per 24 hours,portns/day,134.0,
337,44909,micro-international unit per milliliter,uIU/ml,55.0,
1502,44892,week,wks,188.0,
620,44089,score,/20,167.0,
258,43668,parts per million,ppmCO,131.0,
225,43127,millipascal second,mPa's,115.0,
1050,42952,per 24 hours,a/day,134.0,
1273,42331,picomole per liter,picomoles/l,163.0,
3283,41662,kilogram,kilograms,45.0,
302,40860,trillion per liter,x10'12/l,179.0,
376,40592,millimole per liter,mmo/L,101.0,
36,39987,score,/8,167.0,
1264,39721,millimole per liter,MMLITRES,101.0,
1710,39376,trillion per liter,X 10-12/l,179.0,
1286,38820,times,times,175.0,
404,38736,picogram per deciliter,pg/dL,159.0,
333,38515,gram per 24 hours,g/d,27.0,
1331,38408,trillion per liter,x10**12/l,179.0,
284,38316,micromole per 24 hours,umol/24h,69.0,
2758,38047,percent hemoglobin A1c,% (DCCT),154.0,
67,37901,the number ten,10,170.0,
1021,37366,milliliter per minute per 1.73 square meter,ml/mn/1.73m2,93.0,
1550,36670,milligram per millimole of creatinine,mg/mmol/creat,87.0,
1181,36551,trillion per liter,x10 12/l,179.0,
61,36369,per 24 hours,{Units}/d,134.0,
372,36320,nanomole per 24 hours,nmol/d,127.0,
432,36315,meter,metres,54.0,
823,36253,million per milliliter,10*6/mL,111.0,
48,36125,unit,[arb'U],180.0,
853,36080,per week,no. per week,150.0,
521,35985,ratio,R,165.0,
1242,35665,milligram per millimole of creatinine,mg/mmol Cr,87.0,
395,35547,per 24 hours,per/day,134.0,
1011,35193,millimeter per hour,mm/hr.,97.0,
312,35021,milliosmole per kilogram,mOsm/Kg,113.0,
150,34021,hour,Hrs,35.0,
17360,33361,thousand per microliter,Thou/uL,173.0,
1076,33074,degree Celsius,oC,21.0,
1496,32777,per 24 hours,CIGARETTES PER DAY,134.0,
1695,32728,milligram per millimole of creatinine,mg/mmol creatinine,87.0,
943,31760,degree Celsius,degrees celsius,21.0,
390,31649,per high power field,/hpf,137.0,
1315,31444,trillion per liter,10*12L,179.0,
790,31288,millimeter mercury column,O/E - BP borderline raised,96.0,
386,31168,micromole per 24 hours,umol/d,69.0,
252,31153,picogram per liter,pg/l,160.0,
1612,31149,milligram per millimole of creatinine,mg(Alb)/mmol(Creat),87.0,
1230,30958,millipascal second,mPa.s.,115.0,
322,30841,per month,U/month,146.0,
1311,30826,counts per minute,resp/min,16.0,
1388,30692,billion per liter,10 ^9/L,7.0,
1944,30666,per second,/second,147.0,
1019,30302,score,/16 (>2 signfic),167.0,
736,30089,per week,fits/week,150.0,
1292,29913,per 24 hours,cigarettes a day,134.0,
7048,29769,billion per liter,x 10?'9/l,7.0,
999,29632,microliter,uL,66.0,
928,29319,liter,ltrs,50.0,
1904,29219,unit per week,units / week,186.0,
802,29062,degree Celsius,deg C,21.0,
1063,29048,trillion per liter,*10 12/l,179.0,
1552,28760,milliliter per minute per 1.73 square meter,ml/min/m*2,93.0,
1509,28556,per 24 hours,units/day,134.0,
2245,28269,micromole per liter,ÃÂµmol/L,70.0,
1005,28090,liter per second,L/S,53.0,
1197,27981,billion per liter,x10^9/1,7.0,
217,27919,millimole per 24 hours,mmol/24h,99.0,
477,27649,millimeter mercury column,O/E - BP reading,96.0,
185,27647,milligram per milliliter,mg/ml,85.0,
864,27214,ratio,?:1,165.0,
1223,27157,micromole,umol,68.0,
363,27139,millimeter per hour,MM /HR,97.0,
2638,27054,score,/70,167.0,
274,26886,titer,titre,176.0,
436,26868,per 24 hours,portions/day,134.0,
1585,26593,square meter,sq. m,169.0,
1329,26538,femtoliter,fl.,24.0,
400,26495,score,/42,167.0,
2209,26410,unit per liter,ALT/SGPT serum level,184.0,
234,26381,nanomole per 24 hours,nmol/24h,127.0,
3759,26177,millimeter mercury column,BP,96.0,
317,26157,millimole per 24 hours,mmol/d,99.0,
345,26081,pH,[pH],130.0,
747,25812,year,Yrs,189.0,
12119,25632,milligram per millimole of creatinine,mg/mmol of creatinine,87.0,
411,25358,unit per milliliter,mU/mL,185.0,
267,24610,millimole per liter,Serum lipids,101.0,
1601,24426,trillion per liter,x10/12 l,179.0,
959,24388,micromole per mole,umol/mol,73.0,
1268,24247,international unit per liter,lu/l,40.0,
375,24245,gram per mole,g/molC,31.0,
10963,24139,kilohertz,KHz,47.0,
1498,23743,per hour,/hour,138.0,
1154,23446,millimeter per hour,mm in 1 hour,97.0,
393,23164,millimeter per hour,mm/1 Hour,97.0,
847,23099,millimole per liter,mmol/1,101.0,
840,22953,gram per deciliter,gm/dl,28.0,
351,22421,milliliter per minute per 1.73 meter,mL/mn/1.73,92.0,
2690,22301,microgram per gram,ug/g.,61.0,
318,22109,unit per deciliter,u/dl,183.0,
1215,21890,micromole per mole of hemoglobin,umol/mol Haem,74.0,
2380,21387,parts per million,COppm,131.0,
1671,21346,milliliter per minute per 1.73 square meter,ml/min(cor),93.0,
745,21220,liter per minute,1/minute,52.0,
940,20902,inch (British),inches,36.0,
917,20616,millimole per square meter,mmol/m,106.0,
132,20276,degree Celsius,degrees centigrade,21.0,
423,20206,nanogram per liter,ng/Litre,124.0,
975,19927,degree Celsius,Celcius,21.0,
2290,19572,fraction,frac. of total,25.0,
1606,19178,trillion per liter,10e12/l,179.0,
310,19156,cigarettes pack-years smoked during life,yrs@20cigs/day,13.0,
1844,19005,percent total,%Tot.,156.0,
1048,18915,per 24 hours,PUFFS/DAY,134.0,
1532,18872,micromole per liter,uM/l,70.0,
1238,18840,cells per microliter,cells/uL,10.0,
2262,18720,unit per week,Unt/Wk,186.0,
406,18551,per cubic millimeter,/cu mm.,136.0,
1641,18550,trillion,10/12/,177.0,
927,18422,per 24 hours,ex cig/d,134.0,
480,18251,per month,/month,146.0,
1308,18240,cubic millimeter,mm^3,17.0,
863,18183,kilopascal,kPa,48.0,
1481,18090,microgram of fibrinogen equivalent unit per liter,ug/l FEU,58.0,
918,18066,micromole per 24 hours,umol/24hr,69.0,
1723,17556,millimeter mercury column,O/E - BP reading raised,96.0,
860,17512,percent hemoglobin,% total haemoglobin,153.0,
1218,17307,degree Celsius,deg celcius,21.0,
249,16952,percent,percentage unit,152.0,
6131,16717,milligram per millimole of creatinine,mgALB/mmolCREAT,87.0,
184,16607,milligram of fibrinogen equivalent unit per liter,mg/L FEU,79.0,
1687,16572,heartbeat,beats /min,34.0,
3028,16267,ratio,total ratio,165.0,
682,16236,unit per week,U/wk,186.0,
175,16197,square meter,m2,169.0,
806,15913,per week,times per week,150.0,
1288,15874,gram per liter,g/l.,29.0,
1174,15859,degree Celsius,degrees celcius,21.0,
1707,15851,degree Celsius,deg.C,21.0,
1620,15803,unit per week,upw,186.0,
1326,15771,gram,grams,26.0,
820,15481,micromole per liter,umol//l,70.0,
935,15436,degree Celsius,Centigrade,21.0,
1295,15395,picogram,pg.,157.0,
34,15333,score,/63,167.0,
1949,15113,femtogram,fg,23.0,
996,14978,per week,per week,150.0,
1391,14917,millimeter per hour,MM 1stH,97.0,
1200,14605,kilogram per square meter,kg/m/m,46.0,
1171,14411,microgram per gram of hemoglobin,u/g(Hb),62.0,
1359,14408,liter per second,litres/sec,53.0,
1608,14061,microgram per liter,MICROGMS/L,63.0,
1105,13950,nanomole per 24 hours,nmol/24hr,127.0,
1941,13843,milligram,mgs,78.0,
824,13686,score,/48,167.0,
2200,13644,per 24 hours,Ex/day,134.0,
1866,13495,milligram per millimole,mg/mmo,86.0,
3705,13427,millimeter mercury column,O/E-blood pressure reading NOS,96.0,
2272,13223,millimeter mercury column,mmHgs,96.0,
2386,13179,hour,hours fasting,35.0,
1595,13064,millimole per liter,mmmol/l,101.0,
839,12967,liter,Liters,50.0,
58,12947,ratio,{ratio},165.0,
1061,12806,millipascal,mPA @ 25C.,114.0,
2068,12754,parts per million,(ppm),131.0,
142,12537,unit per milliliter,GPL U/ml,185.0,
119,12537,per 24 hours,cigs/d,134.0,
1960,12520,score,/14,167.0,
666,12473,microgram per liter,mcg/l,63.0,
496,12408,degree,degrees,20.0,
1173,12403,per year,per year,151.0,
968,12380,gram per liter,#G ( )/L,29.0,
1898,12347,milliliter per 24 hours,mls/day,89.0,
1896,12245,milliliter per minute per 1.73 square meter,mL/min/1.73 sq m,93.0,
1343,12153,per month,/mth,146.0,
1046,12060,second,sec.,168.0,
2824,11971,millimole per mole of hemoglobin,mmol/mmHb,105.0,
1084,11925,cubic millimeter,mm3,17.0,
297,11855,microunit per liter,uU/L,75.0,
1373,11844,million per liter,x 10*6/l,109.0,
1262,11805,per 100 white blood cells,per 100 WBC,133.0,
342,11631,millimole per 24 hours,mmol/24hr,99.0,
1289,11570,picomole per liter,pmols/l,163.0,
1280,11527,percent,Red blood cell distribution width,152.0,
